"","observed","mean.simulated","lowCI","uppCI","sign"
"K19113",18.0387887036407,29.6511223336884,23.0275050690999,35.5732498322523,"SPECIALIST"
"K19115",2.12786935364704,27.9294203448937,21.5191017021356,33.3690250707548,"SPECIALIST"
"K19117",3.97832601785985,30.6117860879234,24.5321816070165,36.7182220484997,"SPECIALIST"
"K19118",6.17680098719203,28.7003580855278,22.656021173586,34.488239486814,"SPECIALIST"
"K19119",6.27749080233379,28.8089157297047,22.6144696338799,34.3978600114051,"SPECIALIST"
"K19120",3.52742417098853,28.3438267313986,21.9736669377338,34.2467846685318,"SPECIALIST"
"K19121",2.75175835822334,29.5357917334775,23.2802509636323,35.4021956375521,"SPECIALIST"
"K19122",3.22944346954124,29.1791915472145,22.8651318403124,34.8884966928806,"SPECIALIST"
"K19123",9.03371344052674,31.6000272973758,25.715579836021,37.5596063529308,"SPECIALIST"
"K19124",6.15770957647379,30.5843004634228,24.2857799923342,36.4739306702321,"SPECIALIST"
"K19125",3.98992527915372,29.0863253383144,22.8918246498256,34.5629090909091,"SPECIALIST"
"K19126",3.62228239845261,28.2261265004517,21.5054949946283,33.634830532126,"SPECIALIST"
"K19127",1.09415817968425,28.5880257863916,22.2633130492617,34.021014129078,"SPECIALIST"
"K19128",1,23.254839276085,17.2626421012026,28.5987841945289,"SPECIALIST"
"K19129",1,25.2056904873624,18.9158704065778,30.7503759398496,"SPECIALIST"
"K19130",1,23.0297705851806,17.3326653306613,28.734219269103,"SPECIALIST"
"K19131",7.15482741709545,31.7946202182357,25.5111408776422,37.9836982130333,"SPECIALIST"
"K19132",10.1456210616029,32.8976467298275,26.0094975484539,38.4630336589032,"SPECIALIST"
"K19133",1.64364100382816,25.155453401835,18.9598172912508,30.522906793049,"SPECIALIST"
"K19134",3.81870271064424,29.2579269706926,23.070559863191,34.9123146721687,"SPECIALIST"
"K19135",5.5642457696398,30.8396276270742,24.6081119659519,36.7471576419815,"SPECIALIST"
"K19136",7.14873111681729,30.8445793309261,24.2407021180938,36.6636240705545,"SPECIALIST"
"K19140",3.86671503563655,30.0251001099658,23.1503707952862,35.5936643472285,"SPECIALIST"
"K19141",6.2871048972075,29.050883635586,22.5668569029219,34.8589254292654,"SPECIALIST"
"K19142",7.15151043288695,31.2432997384635,25.136435837914,37.0839927856026,"SPECIALIST"
"K19144",2.19536682006645,30.2436021236985,23.399750798722,36.5069548235157,"SPECIALIST"
"K19147",19.6350654124935,34.2091583098285,28.2810068109635,39.667355057788,"SPECIALIST"
"K19155",13.8313689617563,30.1234000152385,23.6640217602363,35.860437206017,"SPECIALIST"
"K19156",33.0065753784952,31.7382414003098,25.1183618135077,37.7113691447435,"NON SIGNIFICANT"
"K19157",31.4337552742616,28.8766772436697,22.297947534853,34.8618365389989,"NON SIGNIFICANT"
"K19158",23.3871850193912,32.6663834647789,25.9401731363235,38.2284516518454,"SPECIALIST"
"K19159",23.7494311461131,33.7281312021611,27.1384320880109,39.3070819763205,"SPECIALIST"
"K19163",23.9394347240915,27.0595524101789,21.1155091819882,32.4392850390438,"NON SIGNIFICANT"
"K19164",17.4817927170868,25.6931725430197,19.5942086238884,31.2832080200501,"SPECIALIST"
"K19165",1.6455724696812,30.2283076556858,23.9401326238426,36.2961842578587,"SPECIALIST"
"K19166",37.7673700429457,33.5361041715796,27.4326558267152,39.100963031709,"NON SIGNIFICANT"
"K19168",32.4463412238972,33.8004256054342,27.3612146651452,39.4761678606337,"NON SIGNIFICANT"
"K19169",29.9240252005568,32.868600691431,26.4204928016431,38.6478637717014,"NON SIGNIFICANT"
"K19170",6.88898306926605,29.7571491167111,23.3792114993286,35.3959542359775,"SPECIALIST"
"K19171",5.15095863473559,30.5458285014751,24.0372303271464,36.0031561239334,"SPECIALIST"
"K19172",14.5818867924528,24.9761007665146,18.8847690080438,30.2410683523714,"SPECIALIST"
"K19175",16.2718622564567,27.8236096578505,21.3247832506347,33.406511627907,"SPECIALIST"
"K19176",20.8335390799555,31.8474856132105,25.4373253248944,37.3801378115477,"SPECIALIST"
"K19179",2,1.968,1,2,"NON SIGNIFICANT"
"K19180",39.3380151852907,35.4164182668907,29.4985347016409,40.6644968250959,"NON SIGNIFICANT"
"K19181",39.4400739558595,35.7737154295408,29.7842561008315,40.4408310490225,"NON SIGNIFICANT"
"K19188",39.6029247591608,34.3594110749013,27.8630403743872,39.6919538669447,"NON SIGNIFICANT"
"K19189",33.2050052257382,35.437441038537,29.7328015112234,40.6458967909567,"NON SIGNIFICANT"
"K19191",42.0255832212075,39.774617792038,35.2120911805113,42.6542204055812,"NON SIGNIFICANT"
"K19200",41.0488949455081,37.2752541961115,32.0656008720833,41.724180426117,"NON SIGNIFICANT"
"K19203",1.42941176470588,19.7361830849787,14.1553398058252,25.1379310344828,"SPECIALIST"
"K19204",8.69979679837787,32.9339687754016,25.9604506739602,38.5153811341507,"SPECIALIST"
"K19219",7.14654935386307,27.185962518392,20.876689551142,32.9429657794677,"SPECIALIST"
"K19220",24.8655668527472,32.9149297834567,25.9730588437158,38.5888972056605,"SPECIALIST"
"K19221",39.5123621924713,37.2821914641784,31.7948626047226,41.6461574469049,"NON SIGNIFICANT"
"K19222",35.8937842067349,33.8196269474809,27.3526112317184,39.2158643359732,"NON SIGNIFICANT"
"K19223",32.709097686518,34.0096738256992,27.4602186298258,39.8558317108252,"NON SIGNIFICANT"
"K19224",36.3297336315385,34.9702790145078,28.3517794204449,40.3266927978903,"NON SIGNIFICANT"
"K19225",41.3040382928788,39.7020173934517,35.4289101964025,42.6183488543854,"NON SIGNIFICANT"
"K19226",39.1620431196683,34.5526532759751,28.1605835815173,40.2358903003311,"NON SIGNIFICANT"
"K19227",11.7438249823571,24.7739670310498,18.9738351345146,30.5339449541284,"SPECIALIST"
"K19231",22.8863928290877,35.7069643674733,29.4397138927066,40.4771165135219,"SPECIALIST"
"K19232",25.0858416264729,30.0963282520663,23.7542601645172,36.0085547356142,"NON SIGNIFICANT"
"K19233",18.8492129347483,33.6831922417997,27.4617546619749,39.3378858302303,"SPECIALIST"
"K19234",37.8295263905902,36.5529587854595,30.8766793973675,41.0189959965438,"NON SIGNIFICANT"
"K19242",8.07963839862247,24.9481117945445,18.8245342132504,30.5186991869919,"SPECIALIST"
"K19243",22.559706488846,31.4058067463983,25.2238527972717,37.6108001774047,"SPECIALIST"
"K19244",38.8925586836502,36.3149996995777,31.0665581882526,41.0653005008285,"NON SIGNIFICANT"
"K19245",34.5222856565452,32.7246465690746,26.5897988974171,38.5317550455676,"NON SIGNIFICANT"
"K19246",34.7238840584937,34.5458491533539,28.3950767902001,39.8051570272428,"NON SIGNIFICANT"
"K19265",40.3653553848439,39.0763737832878,34.4004902366271,42.574900619012,"NON SIGNIFICANT"
"K19266",11.0070351758794,25.3630142229963,19.1126055785614,30.8507042253521,"SPECIALIST"
"K19267",39.1236350113433,35.7999533463829,30.180988007896,41.0130405683763,"NON SIGNIFICANT"
"K19268",29.3412010893072,33.7095784677124,27.1315316093201,39.3399479151304,"NON SIGNIFICANT"
"K19269",23.1992123400066,28.8834848077134,22.5622202744891,34.7207655894683,"NON SIGNIFICANT"
"K19270",35.3625958459535,36.4067543692144,30.573441573152,41.206470397334,"NON SIGNIFICANT"
"K19271",12.5523484864934,32.5567015247865,25.5413577513255,38.2791190367749,"SPECIALIST"
"K19272",1,19.036318332943,13.878612716763,23.7722772277228,"SPECIALIST"
"K19273",1.48898678414097,14.3662290814016,9.94117647058823,18.7777777777778,"SPECIALIST"
"K19279",27.9699211838507,28.9846782372842,22.7500701193515,34.5666089098576,"NON SIGNIFICANT"
"K19280",18.6245118654251,27.4251113675602,21.1820777592173,33.315959161741,"SPECIALIST"
"K19281",1.15122446676447,23.4054734254414,17.4974271012007,28.8980169971671,"SPECIALIST"
"K19285",18.2646801619433,31.1125047727253,24.5865043700272,36.8986455538834,"SPECIALIST"
"K19286",31.9007960808328,33.9513198790401,27.577550144311,39.7082831865249,"NON SIGNIFICANT"
"K19290",16.2430985673844,31.0914603140831,24.8825615573894,36.5159524975276,"SPECIALIST"
"K19291",4.11579675077774,26.4986752335268,20.9501194666777,32.3266968325792,"SPECIALIST"
"K19292",1.25674510287052,23.3785052914896,17.2605752961083,28.9021335238049,"SPECIALIST"
"K19293",1.25233085279275,24.3051248516777,18.1864507762051,30.315780400563,"SPECIALIST"
"K19294",41.6174131983957,38.0257317105997,32.6058633228399,42.2590622453029,"NON SIGNIFICANT"
"K19295",31.9237909243001,34.7177601074237,28.7329736595416,39.9533151449356,"NON SIGNIFICANT"
"K19296",1.13924703455389,18.7492863232002,13.5521472392638,24.2747252747253,"SPECIALIST"
"K19300",20.6341121562848,31.3666641009636,24.9060537042978,36.7859971787674,"SPECIALIST"
"K19302",40.2058830535092,41.0504048274057,37.9446371487227,42.7134118990952,"NON SIGNIFICANT"
"K19303",18.1093397503384,28.4961918525183,21.9324507710895,34.3549677205511,"SPECIALIST"
"K19304",18.57521023766,32.3177842977996,25.9463520751885,38.2136439499741,"SPECIALIST"
"K19307",9.07484662576687,26.0210873843364,20.31728962818,31.810752688172,"SPECIALIST"
"K19309",20.5580110497238,20.494835284841,15.0647773279352,25.6620689655172,"NON SIGNIFICANT"
"K19311",41.2314564155534,36.5341272927527,30.508037179472,41.239087846992,"NON SIGNIFICANT"
