,observed,mean.simulated,lowCI,uppCI,sign
K13622,15.75327304,21.79601114,17.34166753,25.73736405,SPECIALIST
K13624,13.80021081,21.06626815,15.97270199,24.8987685,SPECIALIST
K13626,16.526632,21.48302436,17.05309876,25.54778597,SPECIALIST
K13636,1.139976275,12.08197177,7.94214876,15.75409836,SPECIALIST
K13638,7.889093907,19.93045762,15.09574923,24.13118602,SPECIALIST
K13647,1,13.83924882,9.598016529,18,SPECIALIST
K13651,1.649076517,11.12792252,7.183908046,14.55260919,SPECIALIST
K13655,3.903225806,14.36368647,9.853420195,18.78881988,SPECIALIST
K13659,4.67375144,20.57204024,15.81787819,24.58709215,SPECIALIST
K13660,8.142261595,16.80866093,12.2539438,20.8611482,SPECIALIST
K13661,13.68273313,20.06565019,15.43741493,24.41590891,SPECIALIST
K13663,6.282608696,12.52533261,8.376811594,16.51428571,SPECIALIST
K13665,6.187456926,17.04255405,12.18181818,21.42977685,SPECIALIST
K13667,1.28,6.111227706,4,8,SPECIALIST
K13676,2.190373175,15.97799961,11.47227757,20.35175879,SPECIALIST
K13677,3.10430839,12.92486905,8.398773006,16.90123457,SPECIALIST
K13679,5.607773852,19.66962971,14.92490129,23.87227872,SPECIALIST
K13683,5.299550099,19.070276,14.17110047,23.49853483,SPECIALIST
K13684,2.854625551,12.77159726,8.64,17.05263158,SPECIALIST
K13696,10.74156738,18.10378764,13.25471406,22.45181458,SPECIALIST
K13698,9.845815858,18.53975937,13.84765559,22.94023907,SPECIALIST
K13700,13.1323175,18.87803454,14.1007226,23.03007647,SPECIALIST
K13702,7.619047619,13.24067871,8.988764045,17.0212766,SPECIALIST
K13706,5.92381639,17.15364484,12.50551768,21.38000456,SPECIALIST
K13722,2.570295284,16.38303663,11.78063289,20.68085106,SPECIALIST
K13726,2.568134172,12.52416867,8.566433566,16.33333333,SPECIALIST
K13727,10.70905624,18.00795561,13.23772742,22.42320241,SPECIALIST
K13732,1.706562194,16.8878044,12.53301336,21.40672347,SPECIALIST
K13735,19.52004646,23.79328078,20.22310582,25.95168123,SPECIALIST
K13746,12.79901412,18.43639541,13.35250117,22.5780888,SPECIALIST
K13763,2.848101266,8.85039442,5.487804878,11.84210526,SPECIALIST
K13771,18.05991959,22.30867843,18.13687136,25.78936088,SPECIALIST
K13779,14.82081604,20.05630477,15.19380718,24.17745381,SPECIALIST
K13780,9.27856025,15.39880729,10.75946266,19.57090721,SPECIALIST
K13783,6.292404435,17.81313593,13.09829333,22.25181348,SPECIALIST
K13786,13.67499936,19.93075919,15.11363379,24.09323967,SPECIALIST
K13790,1.341730559,15.18343688,10.42553191,19.140625,SPECIALIST
K13794,14.66872285,20.2366627,15.62830389,24.43626082,SPECIALIST
K13798,7.749096971,17.42996947,12.95146101,21.73903393,SPECIALIST
K13800,5.516129032,14.56385347,10.11992853,18.56571429,SPECIALIST
K13811,3.32183908,12.50038111,8.257142857,16.51428571,SPECIALIST
K13818,5.706448508,15.49161588,11.08018692,19.57090721,SPECIALIST
